,candidates,jobs,data_seed,dqn_seed,batch_size,gamma,epsilon,epsilon_min,epsilon_decay,learning_rate,total_reward,allocation
53,100,10,1,1,32,0.9,1,0.001,0.985,0.001,-211399,"   Woman  Man
0      1    8"
54,100,10,1,1,32,0.9,1,0.001,0.995,0.0005,-231736,"   Woman  Man
0      1    8"
55,100,10,1,1,32,0.9,1,0.001,0.995,0.001,-211399,"   Woman  Man
0      1    8"
56,100,10,1,1,32,0.9,0.5,0.1,0.985,0.0005,-246993,"   Woman  Man
0      1    8"
57,100,10,1,1,32,0.9,0.5,0.1,0.985,0.001,-214999,"   Woman  Man
0      1    8"
58,100,10,1,1,32,0.9,0.5,0.1,0.995,0.0005,-208075,"   Woman  Man
0      1    8"
59,100,10,1,1,32,0.9,0.5,0.1,0.995,0.001,-211399,"   Woman  Man
0      1    8"
60,100,10,1,1,32,0.9,0.5,0.001,0.985,0.0005,-232050,"   Woman  Man
0      1    8"
61,100,10,1,1,32,0.9,0.5,0.001,0.985,0.001,-211399,"   Woman  Man
0      1    8"
62,100,10,1,1,32,0.9,0.5,0.001,0.995,0.0005,-223815,"   Woman  Man
0      1    8"
63,100,10,1,1,32,0.9,0.5,0.001,0.995,0.001,-211399,"   Woman  Man
0      1    8"
64,100,10,1,1,32,0.95,1,0.1,0.985,0.0005,-217807,"   Woman  Man
0      1    8"
65,100,10,1,1,32,0.95,1,0.1,0.985,0.001,-214999,"   Woman  Man
0      1    8"
66,100,10,1,1,32,0.95,1,0.1,0.995,0.0005,-220075,"   Woman  Man
0      2    7"
67,100,10,1,1,32,0.95,1,0.1,0.995,0.001,-211399,"   Woman  Man
0      1    8"
68,100,10,1,1,32,0.95,1,0.001,0.985,0.0005,-211399,"   Woman  Man
0      1    8"
69,100,10,1,1,32,0.95,1,0.001,0.985,0.001,-211399,"   Woman  Man
0      1    8"
70,100,10,1,1,32,0.95,1,0.001,0.995,0.0005,-242222,"   Woman  Man
0      1    8"
71,100,10,1,1,32,0.95,1,0.001,0.995,0.001,-219847,"   Woman  Man
0      1    8"
72,100,10,1,1,32,0.95,0.5,0.1,0.985,0.0005,-211399,"   Woman  Man
0      1    8"
73,100,10,1,1,32,0.95,0.5,0.1,0.985,0.001,-211399,"   Woman  Man
0      1    8"
74,100,10,1,1,32,0.95,0.5,0.1,0.995,0.0005,-226342,"   Woman  Man
0      1    8"
75,100,10,1,1,32,0.95,0.5,0.1,0.995,0.001,-211399,"   Woman  Man
0      1    8"
76,100,10,1,1,32,0.95,0.5,0.001,0.985,0.0005,-247358,"   Woman  Man
0      1    8"
77,100,10,1,1,32,0.95,0.5,0.001,0.985,0.001,-211399,"   Woman  Man
0      1    8"
78,100,10,1,1,32,0.95,0.5,0.001,0.995,0.0005,-204513,"   Woman  Man
0      1    8"
79,100,10,1,1,32,0.95,0.5,0.001,0.995,0.001,-211399,"   Woman  Man
0      1    8"
80,100,10,1,1,32,0.99,1,0.1,0.985,0.0005,-245905,"   Woman  Man
0      0    9"
81,100,10,1,1,32,0.99,1,0.1,0.985,0.001,-213123,"   Woman  Man
0      1    8"
82,100,10,1,1,32,0.99,1,0.1,0.995,0.0005,-225126,"   Woman  Man
0      1    8"
83,100,10,1,1,32,0.99,1,0.1,0.995,0.001,-211399,"   Woman  Man
0      1    8"
84,100,10,1,1,32,0.99,1,0.001,0.985,0.0005,-258883,"   Woman  Man
0      1    8"
85,100,10,1,1,32,0.99,1,0.001,0.985,0.001,-213123,"   Woman  Man
0      1    8"
86,100,10,1,1,32,0.99,1,0.001,0.995,0.0005,-240226,"   Woman  Man
0      2    7"
87,100,10,1,1,32,0.99,1,0.001,0.995,0.001,-211399,"   Woman  Man
0      1    8"
88,100,10,1,1,32,0.99,0.5,0.1,0.985,0.0005,-211399,"   Woman  Man
0      1    8"
89,100,10,1,1,32,0.99,0.5,0.1,0.985,0.001,-214999,"   Woman  Man
0      1    8"
90,100,10,1,1,32,0.99,0.5,0.1,0.995,0.0005,-227972,"   Woman  Man
0      1    8"
91,100,10,1,1,32,0.99,0.5,0.1,0.995,0.001,-211399,"   Woman  Man
0      1    8"
92,100,10,1,1,32,0.99,0.5,0.001,0.985,0.0005,-238458,"   Woman  Man
0      1    8"
93,100,10,1,1,32,0.99,0.5,0.001,0.985,0.001,-211399,"   Woman  Man
0      1    8"
94,100,10,1,1,32,0.99,0.5,0.001,0.995,0.0005,-222091,"   Woman  Man
0      1    8"
95,100,10,1,1,32,0.99,0.5,0.001,0.995,0.001,-220399,"   Woman  Man
0      2    7"
96,100,10,1,1,64,0.9,1,0.1,0.985,0.0005,-213983,"   Woman  Man
0      1    8"
97,100,10,1,1,64,0.9,1,0.1,0.985,0.001,-211399,"   Woman  Man
0      1    8"
98,100,10,1,1,64,0.9,1,0.1,0.995,0.0005,-213123,"   Woman  Man
0      1    8"
99,100,10,1,1,64,0.9,1,0.1,0.995,0.001,-211399,"   Woman  Man
0      1    8"
100,100,10,1,1,64,0.9,1,0.001,0.985,0.0005,-210659,"   Woman  Man
0      1    8"
101,100,10,1,1,64,0.9,1,0.001,0.985,0.001,-217807,"   Woman  Man
0      1    8"
102,100,10,1,1,64,0.9,1,0.001,0.995,0.0005,-211399,"   Woman  Man
0      1    8"
103,100,10,1,1,64,0.9,1,0.001,0.995,0.001,-214999,"   Woman  Man
0      1    8"
104,100,10,1,1,64,0.9,0.5,0.1,0.985,0.0005,-226499,"   Woman  Man
0      2    7"
105,100,10,1,1,64,0.9,0.5,0.1,0.985,0.001,-211399,"   Woman  Man
0      1    8"
106,100,10,1,1,64,0.9,0.5,0.1,0.995,0.0005,-211399,"   Woman  Man
0      1    8"
107,100,10,1,1,64,0.9,0.5,0.1,0.995,0.001,-214999,"   Woman  Man
0      1    8"
108,100,10,1,1,64,0.9,0.5,0.001,0.985,0.0005,-232050,"   Woman  Man
0      1    8"
109,100,10,1,1,64,0.9,0.5,0.001,0.985,0.001,-211399,"   Woman  Man
0      1    8"
110,100,10,1,1,64,0.9,0.5,0.001,0.995,0.0005,-226342,"   Woman  Man
0      1    8"
111,100,10,1,1,64,0.9,0.5,0.001,0.995,0.001,-211399,"   Woman  Man
0      1    8"
112,100,10,1,1,64,0.95,1,0.1,0.985,0.0005,-213983,"   Woman  Man
0      1    8"
113,100,10,1,1,64,0.95,1,0.1,0.985,0.001,-211399,"   Woman  Man
0      1    8"
114,100,10,1,1,64,0.95,1,0.1,0.995,0.0005,-213123,"   Woman  Man
0      1    8"
115,100,10,1,1,64,0.95,1,0.1,0.995,0.001,-211399,"   Woman  Man
0      1    8"
116,100,10,1,1,64,0.95,1,0.001,0.985,0.0005,-217583,"   Woman  Man
0      1    8"
117,100,10,1,1,64,0.95,1,0.001,0.985,0.001,-211399,"   Woman  Man
0      1    8"
118,100,10,1,1,64,0.95,1,0.001,0.995,0.0005,-211399,"   Woman  Man
0      1    8"
119,100,10,1,1,64,0.95,1,0.001,0.995,0.001,-211399,"   Woman  Man
0      1    8"
120,100,10,1,1,64,0.95,0.5,0.1,0.985,0.0005,-211165,"   Woman  Man
0      2    7"
121,100,10,1,1,64,0.95,0.5,0.1,0.985,0.001,-211399,"   Woman  Man
0      1    8"
122,100,10,1,1,64,0.95,0.5,0.1,0.995,0.0005,-210659,"   Woman  Man
0      1    8"
123,100,10,1,1,64,0.95,0.5,0.1,0.995,0.001,-211399,"   Woman  Man
0      1    8"
124,100,10,1,1,64,0.95,0.5,0.001,0.985,0.0005,-238458,"   Woman  Man
0      1    8"
125,100,10,1,1,64,0.95,0.5,0.001,0.985,0.001,-211399,"   Woman  Man
0      1    8"
126,100,10,1,1,64,0.95,0.5,0.001,0.995,0.0005,-204513,"   Woman  Man
0      1    8"
127,100,10,1,1,64,0.95,0.5,0.001,0.995,0.001,-211399,"   Woman  Man
0      1    8"
128,100,10,1,1,64,0.99,1,0.1,0.985,0.0005,-217583,"   Woman  Man
0      1    8"
129,100,10,1,1,64,0.99,1,0.1,0.985,0.001,-204513,"   Woman  Man
0      1    8"
130,100,10,1,1,64,0.99,1,0.1,0.995,0.0005,-227710,"   Woman  Man
0      1    8"
131,100,10,1,1,64,0.99,1,0.1,0.995,0.001,-211399,"   Woman  Man
0      1    8"
132,100,10,1,1,64,0.99,1,0.001,0.985,0.0005,-216723,"   Woman  Man
0      1    8"
