,candidates,jobs,data_seed,dqn_seed,batch_size,gamma,epsilon,epsilon_min,epsilon_decay,learning_rate,total_reward,data
63,100,10,1,1,32,0.9,0.5,0.001,0.995,0.001,-292673.2,initial_data
64,100,10,1,1,32,0.95,1,0.1,0.985,0.0005,-293754.4,initial_data
65,100,10,1,1,32,0.95,1,0.1,0.985,0.001,-299235.4,initial_data
66,100,10,1,1,32,0.95,1,0.1,0.995,0.0005,-273633.5,initial_data
67,100,10,1,1,32,0.95,1,0.1,0.995,0.001,-290927.4,initial_data
68,100,10,1,1,32,0.95,1,0.001,0.985,0.0005,-265564.2,initial_data
69,100,10,1,1,32,0.95,1,0.001,0.985,0.001,-300485.1,initial_data
70,100,10,1,1,32,0.95,1,0.001,0.995,0.0005,-301179.2,initial_data
71,100,10,1,1,32,0.95,1,0.001,0.995,0.001,-282313.1,initial_data
72,100,10,1,1,32,0.95,0.5,0.1,0.985,0.0005,-287265.8,initial_data
73,100,10,1,1,32,0.95,0.5,0.1,0.985,0.001,-296149.6,initial_data
74,100,10,1,1,32,0.95,0.5,0.1,0.995,0.0005,-298156.60000000003,initial_data
75,100,10,1,1,32,0.95,0.5,0.1,0.995,0.001,-278368.5,initial_data
76,100,10,1,1,32,0.95,0.5,0.001,0.985,0.0005,-267512.6,initial_data
77,100,10,1,1,32,0.95,0.5,0.001,0.985,0.001,-290843.89999999997,initial_data
78,100,10,1,1,32,0.95,0.5,0.001,0.995,0.0005,-254739.69999999998,initial_data
79,100,10,1,1,32,0.95,0.5,0.001,0.995,0.001,-294928.8,initial_data
80,100,10,1,1,32,0.99,1,0.1,0.985,0.0005,-274215.8,initial_data
81,100,10,1,1,32,0.99,1,0.1,0.985,0.001,-289264.0,initial_data
82,100,10,1,1,32,0.99,1,0.1,0.995,0.0005,-268505.0,initial_data
83,100,10,1,1,32,0.99,1,0.1,0.995,0.001,-281041.9,initial_data
84,100,10,1,1,32,0.99,1,0.001,0.985,0.0005,-280780.1,initial_data
85,100,10,1,1,32,0.99,1,0.001,0.985,0.001,-302553.2,initial_data
86,100,10,1,1,32,0.99,1,0.001,0.995,0.0005,-274677.8,initial_data
87,100,10,1,1,32,0.99,1,0.001,0.995,0.001,-275419.3,initial_data
88,100,10,1,1,32,0.99,0.5,0.1,0.985,0.0005,-271684.2,initial_data
89,100,10,1,1,32,0.99,0.5,0.1,0.985,0.001,-293870.8,initial_data
90,100,10,1,1,32,0.99,0.5,0.1,0.995,0.0005,-350042.2,initial_data
91,100,10,1,1,32,0.99,0.5,0.1,0.995,0.001,-264875.6,initial_data
92,100,10,1,1,32,0.99,0.5,0.001,0.985,0.0005,-251385.2,initial_data
93,100,10,1,1,32,0.99,0.5,0.001,0.985,0.001,-284906.2,initial_data
94,100,10,1,1,32,0.99,0.5,0.001,0.995,0.0005,-256040.0,initial_data
95,100,10,1,1,32,0.99,0.5,0.001,0.995,0.001,-271290.0,initial_data
96,100,10,1,1,64,0.9,1,0.1,0.985,0.0005,-301402.2,initial_data
97,100,10,1,1,64,0.9,1,0.1,0.985,0.001,-298029.0,initial_data
98,100,10,1,1,64,0.9,1,0.1,0.995,0.0005,-283997.8,initial_data
99,100,10,1,1,64,0.9,1,0.1,0.995,0.001,-326616.80000000005,initial_data
100,100,10,1,1,64,0.9,1,0.001,0.985,0.0005,-288889.0,initial_data
101,100,10,1,1,64,0.9,1,0.001,0.985,0.001,-296115.4,initial_data
102,100,10,1,1,64,0.9,1,0.001,0.995,0.0005,-303787.1,initial_data
103,100,10,1,1,64,0.9,1,0.001,0.995,0.001,-326351.60000000003,initial_data
104,100,10,1,1,64,0.9,0.5,0.1,0.985,0.0005,-308109.2,initial_data
105,100,10,1,1,64,0.9,0.5,0.1,0.985,0.001,-337510.4,initial_data
106,100,10,1,1,64,0.9,0.5,0.1,0.995,0.0005,-278612.6,initial_data
107,100,10,1,1,64,0.9,0.5,0.1,0.995,0.001,-326351.60000000003,initial_data
108,100,10,1,1,64,0.9,0.5,0.001,0.985,0.0005,-280090.8,initial_data
109,100,10,1,1,64,0.9,0.5,0.001,0.985,0.001,-291116.69999999995,initial_data
110,100,10,1,1,64,0.9,0.5,0.001,0.995,0.0005,-286754.4,initial_data
111,100,10,1,1,64,0.9,0.5,0.001,0.995,0.001,-296545.4,initial_data
112,100,10,1,1,64,0.95,1,0.1,0.985,0.0005,-281427.8,initial_data
113,100,10,1,1,64,0.95,1,0.1,0.985,0.001,-297229.0,initial_data
114,100,10,1,1,64,0.95,1,0.1,0.995,0.0005,-276073.6,initial_data
115,100,10,1,1,64,0.95,1,0.1,0.995,0.001,-295068.4,initial_data
116,100,10,1,1,64,0.95,1,0.001,0.985,0.0005,-247395.10000000003,initial_data
117,100,10,1,1,64,0.95,1,0.001,0.985,0.001,-306185.0,initial_data
118,100,10,1,1,64,0.95,1,0.001,0.995,0.0005,-271297.9,initial_data
119,100,10,1,1,64,0.95,1,0.001,0.995,0.001,-295622.4,initial_data
120,100,10,1,1,64,0.95,0.5,0.1,0.985,0.0005,-351595.2,initial_data
121,100,10,1,1,64,0.95,0.5,0.1,0.985,0.001,-318628.0,initial_data
122,100,10,1,1,64,0.95,0.5,0.1,0.995,0.0005,-287088.6,initial_data
123,100,10,1,1,64,0.95,0.5,0.1,0.995,0.001,-299597.8,initial_data
124,100,10,1,1,64,0.95,0.5,0.001,0.985,0.0005,-271377.0,initial_data
125,100,10,1,1,64,0.95,0.5,0.001,0.985,0.001,-291691.3,initial_data
126,100,10,1,1,64,0.95,0.5,0.001,0.995,0.0005,-269937.0,initial_data
127,100,10,1,1,64,0.95,0.5,0.001,0.995,0.001,-294424.8,initial_data
128,100,10,1,1,64,0.99,1,0.1,0.985,0.0005,-284603.7,initial_data
129,100,10,1,1,64,0.99,1,0.1,0.985,0.001,-250603.50000000003,initial_data
130,100,10,1,1,64,0.99,1,0.1,0.995,0.0005,-299225.5,initial_data
131,100,10,1,1,64,0.99,1,0.1,0.995,0.001,-296309.0,initial_data
132,100,10,1,1,64,0.99,1,0.001,0.985,0.0005,-270821.9,initial_data
133,100,10,1,1,64,0.99,1,0.001,0.985,0.001,-325435.4,initial_data
134,100,10,1,1,64,0.99,1,0.001,0.995,0.0005,-269885.30000000005,initial_data
135,100,10,1,1,64,0.99,1,0.001,0.995,0.001,-278928.5,initial_data
136,100,10,1,1,64,0.99,0.5,0.1,0.985,0.0005,-327644.8,initial_data
137,100,10,1,1,64,0.99,0.5,0.1,0.985,0.001,-316515.0,initial_data
138,100,10,1,1,64,0.99,0.5,0.1,0.995,0.0005,-287764.6,initial_data
139,100,10,1,1,64,0.99,0.5,0.1,0.995,0.001,-275753.5,initial_data
140,100,10,1,1,64,0.99,0.5,0.001,0.985,0.0005,-284489.6,initial_data
141,100,10,1,1,64,0.99,0.5,0.001,0.985,0.001,-285995.5,initial_data
142,100,10,1,1,64,0.99,0.5,0.001,0.995,0.0005,-308468.30000000005,initial_data
143,100,10,1,1,64,0.99,0.5,0.001,0.995,0.001,-280162.4,initial_data
144,100,20,1,1,16,0.9,1,0.1,0.985,0.0005,-1197995.7,initial_data
145,100,20,1,1,16,0.9,1,0.1,0.985,0.001,-1237071.0,initial_data
146,100,20,1,1,16,0.9,1,0.1,0.995,0.0005,-1213242.6,initial_data
147,100,20,1,1,16,0.9,1,0.1,0.995,0.001,-1653606.8,initial_data
148,100,20,1,1,16,0.9,1,0.001,0.985,0.0005,-1247739.0,initial_data
149,100,20,1,1,16,0.9,1,0.001,0.985,0.001,-1251649.5999999999,initial_data
150,100,20,1,1,16,0.9,1,0.001,0.995,0.0005,-1303823.2999999998,initial_data
151,100,20,1,1,16,0.9,1,0.001,0.995,0.001,-1578920.5999999999,initial_data
152,100,20,1,1,16,0.9,0.5,0.1,0.985,0.0005,-1289562.4,initial_data
153,100,20,1,1,16,0.9,0.5,0.1,0.985,0.001,-1556067.8,initial_data
154,100,20,1,1,16,0.9,0.5,0.1,0.995,0.0005,-1255225.8,initial_data
155,100,20,1,1,16,0.9,0.5,0.1,0.995,0.001,-1621133.0,initial_data
