,10,20,50
0,,5067653120.0,
1,,6160637952.0,6346334208.0
2,4646065152.0,7113469952.0,6371330048.0
3,3435210752.0,6323174912.0,6162646016.0
4,3711366400.0,6824820224.0,5688138752.0
5,4453047296.0,5072791552.0,6509149696.0
6,3834156544.0,5836467200.0,6312645632.0
7,4061572864.0,7443945984.0,5706727424.0
8,3398428160.0,6380636672.0,7050198016.0
9,3859299328.0,5159171584.0,6537714176.0
10,3591254784.0,4717427712.0,6703883264.0
11,4027325696.0,6475898368.0,5553203200.0
12,4321157120.0,6641683456.0,7004092416.0
13,3045711104.0,4102475776.0,5872440832.0
14,2596610560.0,4367349760.0,5123536896.0
15,2508588800.0,6002816000.0,5502438912.0
16,2920663040.0,6543967744.0,5426919424.0
17,4171486720.0,4687342592.0,4716808704.0
18,2335599104.0,6336894976.0,5074631680.0
19,3588488192.0,4902371840.0,5755531776.0
20,5883939840.0,7683982848.0,5325669376.0
21,4359151616.0,5519899136.0,5411573248.0
22,4890490880.0,6443223040.0,4446362624.0
23,5571816448.0,5861729280.0,3850227200.0
24,5832901632.0,6429604864.0,3776557056.0
25,3810317312.0,6138501632.0,4403181568.0
26,3969124096.0,5724101120.0,4137447936.0
27,3979018752.0,3657669120.0,4006032640.0
28,3009215488.0,5477193728.0,4423615488.0
29,5650671104.0,5830963200.0,5027430912.0
30,4169153024.0,6235867136.0,3298602496.0
31,6085351424.0,6833139712.0,3669507584.0
32,5260328448.0,4466973184.0,2856343552.0
33,5938919424.0,8371045888.0,3445677568.0
34,6602891264.0,4781329920.0,3205513216.0
35,6889243648.0,6958278656.0,3115573760.0
36,3425322240.0,5712826368.0,2801252864.0
37,6856054272.0,3446553088.0,3666388736.0
38,6203002880.0,6541681664.0,2540432896.0
39,4230797568.0,4829411328.0,2742298112.0
40,4174729216.0,4633114624.0,2195751424.0
41,5549687296.0,5358351360.0,1971046016.0
42,5210035712.0,4819240448.0,1769237376.0
43,3962556160.0,6963987968.0,1673073792.0
44,5277333504.0,4622644224.0,1407630848.0
45,7472854016.0,6711227392.0,1289283712.0
46,4607360512.0,5872920064.0,1617631872.0
47,4098858496.0,7776127488.0,955964672.0
48,4027934464.0,8293047808.0,1104000768.0
49,5774006272.0,5624701952.0,947433280.0
50,6564761600.0,5212279808.0,1040339456.0
51,5286455808.0,3604993536.0,897362944.0
52,5731233792.0,4793866240.0,1075342080.0
53,5469170688.0,8779646976.0,628698496.0
54,4586070016.0,5618615808.0,951637504.0
55,4974164992.0,6915577856.0,613731328.0
56,6008744960.0,7375199744.0,563585920.0
57,5557548544.0,6047495168.0,359366816.0
58,3541100544.0,3848677120.0,631216768.0
59,3812587264.0,4546880512.0,756173056.0
60,4315111424.0,4233940992.0,481397696.0
61,5236477440.0,5484763648.0,657449536.0
62,5668960256.0,6231951872.0,534059872.0
63,6393669632.0,4450215424.0,640261696.0
64,5763849216.0,5937213440.0,521022144.0
65,6968536064.0,5618657280.0,567781888.0
66,3438639872.0,4779962880.0,468806560.0
67,3927519232.0,4149592064.0,496299264.0
68,6756891648.0,3119905792.0,700237824.0
69,2672660736.0,5464324096.0,502974304.0
70,5159038976.0,3381524736.0,715727552.0
71,3048978176.0,7687748096.0,1355153536.0
72,3015380736.0,4831473152.0,880553856.0
73,4203528704.0,7640712704.0,993155392.0
74,4462605312.0,4144578560.0,1340406784.0
75,4959522816.0,4175477760.0,2312204800.0
76,4373230592.0,5326112768.0,1751468800.0
77,3445334784.0,5380377600.0,3027740160.0
78,5680291840.0,4748208128.0,2180656384.0
79,3406786048.0,4878046720.0,3516954368.0
80,1549241344.0,5134776320.0,8417154560.0
81,3638676736.0,6017234944.0,8413180928.0
82,5181178880.0,3608143360.0,15768743936.0
83,5186477056.0,3183033856.0,19600629760.0
84,4412783616.0,4707993088.0,33250529280.0
85,2434441216.0,6397819392.0,36544401408.0
86,4418796032.0,3049919232.0,94231101440.0
87,3693241344.0,3148315648.0,154997981184.0
88,3031731968.0,4926855680.0,187190263808.0
89,4068454400.0,5962309120.0,310893740032.0
90,2310871040.0,5347866624.0,491657003008.0
91,2375530752.0,7528034304.0,914740609024.0
92,2686909440.0,5435615232.0,1179484553216.0
93,2664978176.0,5605268480.0,1730808643584.0
94,5061543424.0,2788259328.0,2434497249280.0
95,3533267968.0,3232688128.0,4511410683904.0
96,2991757568.0,2767942656.0,7852812402688.0
97,1998628352.0,5475347968.0,6286031192064.0
98,3977893632.0,3660894976.0,10362733723648.0
99,4164727296.0,3642675712.0,10866476974080.0
100,3851714048.0,6050247680.0,17697318371328.0
101,4870283264.0,5340387328.0,20495562964992.0
102,5090365440.0,4499058176.0,31545339412480.0
103,2790013952.0,2547396096.0,38364967337984.0
104,3949656832.0,3160299008.0,51059024199680.0
105,2827238656.0,5448377856.0,60450683224064.0
106,2981124096.0,5227015680.0,95491316514816.0
107,2131580288.0,3543519488.0,126124222840832.0
108,3748759552.0,5465217024.0,118201451020288.0
109,2267122432.0,2616678912.0,130153397092352.0
110,4271953920.0,3361318912.0,267052157763584.0
111,3938582272.0,4190043392.0,290658153660416.0
112,4149382656.0,4580609536.0,338644313309184.0
113,3530068224.0,5347684864.0,433387466653696.0
114,2857517568.0,3226559232.0,495299118235648.0
115,3266213888.0,4735021056.0,466623433539584.0
116,3435806208.0,5293401088.0,516189906272256.0
117,3434689024.0,3973468416.0,546716755427328.0
118,2867207680.0,4509784576.0,751472308387840.0
119,3399700224.0,3634891520.0,945084132491264.0
120,2800607232.0,2656790528.0,1034829688733696.0
121,3418377472.0,3258270976.0,1399559922122752.0
122,2341408768.0,3132620800.0,1217363651330048.0
123,3541348864.0,4516067840.0,1254710539452416.0
124,2853598464.0,5337466368.0,1997854906253312.0
125,3976155136.0,4066962176.0,1616502209904640.0
126,2849923840.0,4901711360.0,2748279511056384.0
127,2923783680.0,3916062464.0,2151869078044672.0
128,2295956224.0,2686875648.0,2938417176379392.0
129,3079053824.0,2592084736.0,1633030854672384.0
130,3884065280.0,2533157376.0,3555233267449856.0
131,2351471616.0,3040768512.0,4831175709294592.0
132,1051514112.0,886390528.0,2808732517924864.0
133,1502372096.0,2813009920.0,4782054705201152.0
134,3818408192.0,2834393088.0,5203804924411904.0
135,2997655552.0,2283115008.0,7565032451735552.0
136,2433500416.0,3570249984.0,5197524608483328.0
137,2902862080.0,2189376512.0,5234575680733184.0
138,3738235648.0,4867518464.0,8238300787638272.0
139,2178045184.0,4217866496.0,1.1403152129523712e+16
140,3102415360.0,3042684928.0,7586515878150144.0
141,2194693888.0,3567677440.0,9668046545223680.0
142,1045060032.0,2204795392.0,9957453252788224.0
143,2620521472.0,2291507456.0,9860528725819392.0
144,1703856640.0,2640754944.0,6385319289028608.0
145,1504364288.0,3238202368.0,1.4975711295045632e+16
146,1927430912.0,4183345408.0,1.4749102378057728e+16
147,2795601152.0,2799012096.0,1.0599937410596864e+16
148,2026737280.0,6174423040.0,1.5452842433183744e+16
149,3047133696.0,2871625472.0,1.2751514162429952e+16
150,2357019392.0,2445478912.0,1.664279426105344e+16
151,1306271232.0,4383661056.0,2.006339426241741e+16
152,2540472832.0,2835632640.0,1.879105959310131e+16
153,1649872384.0,2972734208.0,2.082319115694899e+16
154,1375419136.0,3121582336.0,2.570790041236275e+16
155,2231487232.0,3879945216.0,2.2074409619554304e+16
156,4042988800.0,3140759040.0,1.9847821263896576e+16
157,1123474816.0,2600549632.0,4.043842276189798e+16
158,1725855744.0,1944571008.0,2.205485033848832e+16
159,2496346112.0,3508618240.0,4.041234801544397e+16
160,2990476032.0,1660948480.0,3.4564322692694016e+16
161,1771028992.0,2148604928.0,4.671406576605594e+16
162,1218672384.0,2619379968.0,3.2099312112500736e+16
163,1820568576.0,731171456.0,5.096468322975744e+16
164,1248761216.0,2842704128.0,4.555337662411571e+16
165,1004152704.0,2870942208.0,3.958151236183654e+16
166,799147840.0,1120545024.0,4.037253796357734e+16
167,1230152448.0,2640280064.0,4.557094304035635e+16
168,731407808.0,4570764800.0,5.941248876399821e+16
169,1956968704.0,1661162752.0,5.507208500897382e+16
170,1448674048.0,2890901760.0,7.312950620585984e+16
171,1192290688.0,3080220160.0,6.722414092222464e+16
172,1321024256.0,1502478336.0,6.228735518834688e+16
173,861842944.0,3494573568.0,6.138124164294246e+16
174,1548541568.0,2398597120.0,8.751089495887053e+16
175,1586980224.0,3300616960.0,5.783303172076339e+16
176,2307994112.0,2794730752.0,1.0954967782470451e+17
177,2314580736.0,2721652992.0,8.369551230107648e+16
178,1403645824.0,4211249664.0,7.445715790646477e+16
179,1406169216.0,1724155392.0,1.4187751011463987e+17
180,1415956736.0,2858366976.0,8.162496010728243e+16
181,937850496.0,1447223936.0,9.172936888732877e+16
182,1192620032.0,2662713856.0,9.29016544409682e+16
183,402552800.0,1823069440.0,1.1877574002291507e+17
184,790411520.0,3864655872.0,1.847053778021253e+17
185,756780864.0,2849275648.0,1.565158066314281e+17
186,1190478208.0,2656315648.0,1.807775443105874e+17
187,419561856.0,3212990976.0,1.7319258052624384e+17
188,336556672.0,1764084224.0,1.4789919170258534e+17
189,990808704.0,2883834624.0,1.8482842002522112e+17
190,727576576.0,2318273792.0,8.898144022141338e+16
191,470190752.0,2702242048.0,1.933793906739118e+17
192,445956096.0,2494374912.0,1.8915297105595597e+17
193,1109110656.0,1241009408.0,7.182275381611725e+16
194,1079054592.0,970907264.0,1.9738729953571635e+17
195,529470496.0,3525816320.0,1.1861730726930022e+17
196,778018304.0,2573572096.0,1.5863411886155366e+17
197,1013293888.0,974401536.0,2.154195651091497e+17
198,398511488.0,1511446272.0,2.053294843400028e+17
199,687935488.0,1685125632.0,2.0013186953720627e+17
200,1585975040.0,1570609152.0,2.983751576243405e+17
201,647018112.0,1312131456.0,1.7683902494041702e+17
202,366407360.0,3215610368.0,2.991300067165471e+17
203,837108032.0,3028032768.0,1.494422016533463e+17
204,428600768.0,1279354624.0,2.901086168898601e+17
205,964235904.0,1848048384.0,3.450841639189217e+17
206,503421440.0,3392663552.0,2.2796174578679808e+17
207,243284240.0,1780548992.0,4.303209166442332e+17
208,349794112.0,1516613504.0,3.865977716138312e+17
209,1281343616.0,2579112704.0,3.482774205638902e+17
210,500728064.0,2275247360.0,2.7512321829607834e+17
211,220788640.0,2175488512.0,3.364106320834724e+17
212,525480384.0,1350663680.0,3.91728092869034e+17
213,128220464.0,3078029312.0,3.378875510774825e+17
214,126923688.0,1882352000.0,3.957555008823624e+17
215,561953472.0,1931647744.0,2.497109963172741e+17
216,901718080.0,3005226240.0,3.563287662569718e+17
217,352695328.0,2081562624.0,1.5302683289819546e+17
218,311173504.0,3028601600.0,4.723688526305034e+17
219,536331360.0,1103655680.0,5.1884819843383296e+17
220,65871372.0,1499500416.0,2.5132458117064294e+17
221,202187536.0,1630675456.0,6.550888216705106e+17
222,486940576.0,2969729536.0,6.12727593589801e+17
223,262350784.0,1136501888.0,5.437768070951076e+17
224,313837632.0,1610304256.0,3.467065964049203e+17
225,836786944.0,2753621760.0,2.431383047849902e+17
226,278349568.0,1937297664.0,6.820449984928809e+17
227,943427776.0,3262214656.0,3.117148450093793e+17
228,560901632.0,1991681280.0,3.541106046271488e+17
229,303085856.0,2552432640.0,5.698083977177334e+17
230,250854496.0,1238388864.0,7.663741043694633e+17
231,117444288.0,1197140480.0,6.062449417519104e+17
232,346525984.0,2943966976.0,6.760124592276111e+17
233,514994816.0,1713914368.0,4.217186469061591e+17
234,542518336.0,2336920320.0,5.5308898338760294e+17
235,327574208.0,838955456.0,5.6353991012909056e+17
236,247994640.0,1473774592.0,5.141179276124488e+17
