,10,20,50
0,,5640964096.0,
1,8348785664.0,7670247936.0,6465257984.0
2,8274940416.0,5649636352.0,6247071744.0
3,6496947712.0,7045774336.0,6334169088.0
4,7719167488.0,8713555968.0,7229298688.0
5,6273860096.0,6907057152.0,5773579264.0
6,8023457792.0,4855031808.0,6050332160.0
7,8681306112.0,5800108544.0,6892204032.0
8,6538015232.0,6634271232.0,6671798272.0
9,6194196992.0,6710340608.0,5564484608.0
10,8704823296.0,8147365376.0,6916771840.0
11,9756568576.0,4256620544.0,5508997120.0
12,7285541888.0,5614358016.0,6296841216.0
13,9066198016.0,4791309312.0,6125286912.0
14,8328817152.0,7342606336.0,5871066624.0
15,6679933440.0,5199081472.0,6441938944.0
16,7629894144.0,5779318272.0,4825055232.0
17,5613059072.0,7520839680.0,6297585664.0
18,6533345280.0,6833201664.0,5137638912.0
19,6330276864.0,7380613120.0,5178166272.0
20,6455596544.0,6307979776.0,4287408896.0
21,6738234368.0,5346458624.0,3242065408.0
22,6191719424.0,5815378432.0,3647320064.0
23,8819089408.0,5206458880.0,3554503424.0
24,7531881472.0,6921335808.0,3846661120.0
25,5499545600.0,5699295232.0,3654917120.0
26,8000479232.0,7584367616.0,4500977152.0
27,4309790208.0,4935437824.0,3242231552.0
28,6758690304.0,6143740928.0,2634829824.0
29,5144693248.0,5610737664.0,2101524224.0
30,5502412800.0,5987776000.0,1953399040.0
31,5263653376.0,10657992704.0,2942135040.0
32,6110881792.0,6632640512.0,2214520320.0
33,4409788416.0,6755851776.0,2313599488.0
34,8081120256.0,6225907200.0,2093897600.0
35,6232666112.0,5819652096.0,1863364224.0
36,5393909760.0,5074955776.0,1762917376.0
37,5960311808.0,4076830720.0,1820615296.0
38,6851108864.0,7027123200.0,1599445760.0
39,6647582720.0,8328223744.0,1945787264.0
40,8400948736.0,6792440320.0,2192804608.0
41,7084185600.0,6469832704.0,1919489152.0
42,5880228864.0,5952916480.0,1275736960.0
43,5287804416.0,5614412288.0,872612864.0
44,5677792256.0,3926257664.0,1172488960.0
45,6373319168.0,3459666944.0,1022811776.0
46,5221990912.0,4331942400.0,1081018880.0
47,7414054912.0,4307536896.0,987013440.0
