,URL,Job_Title,Job_ID,Minimum_Pay,Maximum_Pay,BQ_1,BQ_2,BQ_3,BQ_4,BQ_5,BQ_6,BQ_7,BQ_8,BQ_9,BQ_10,BQ_11,BQ_12,BQ_13,Degree_Bachelor,Degree_Master,Degree_Other,Software_Programming,C_Programming,Python_Programming,JavaScript_Programming,Professional_Software_Experience,Management_Skills,Engineer
766,https://www.amazon.jobs/en-gb/jobs/2535781/software-development-engineer-lambda-runtimes-aws,"Software Development Engineer, Lambda Runtimes, AWS",2535781,118069.97954712977,210989.11968244708,Experience (non-internship) in professional software development,"Experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems",Experience programming with at least one software programming language,,,,,,,,,,,0,0,0,1,0,0,0,1,0,0
767,https://www.amazon.jobs/en-gb/jobs/2518873/software-development-engineer-lambda-runtimes-aws,"Software Development Engineer, Lambda Runtimes, AWS",2518873,118069.97954712977,210989.11968244708,Experience (non-internship) in professional software development,"Experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems",Experience programming with at least one software programming language,,,,,,,,,,,0,0,0,1,0,0,0,1,0,0
768,https://www.amazon.jobs/en-gb/jobs/2576634/software-development-engineer-iii-aurora,"Software Development Engineer III, Aurora",2576634,146473.2457035694,259183.01981661684,5+ years of programming with at least one software programming language experience,5+ years of non-internship professional software development experience,"5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience","Experience as a mentor, tech lead or leading an engineering team",,,,,,,,,,0,0,0,0,0,0,0,5,0,1
769,https://www.amazon.jobs/en-gb/jobs/2449176/senior-software-development-engineer,Senior Software Development Engineer,2449176,146473.2457035694,259183.01981661684,5+ years of non-internship professional software development experience,5+ years of programming with at least one software programming language experience,"4+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience","Experience as a mentor, tech lead or leading an engineering team",,,,,,,,,,0,0,0,0,0,0,0,5,0,1
770,https://www.amazon.jobs/en-gb/jobs/2611563/sr-system-development-engineer-amazon-linux,"Sr. System Development Engineer, Amazon Linux",2611563,121000.0,235200.0,5+ years of deploying and operating in a Linux/Unix environment experience,"5+ years of programming with at least one modern language such as C++, C#, Java, Python, Golang, PowerShell, Ruby experience","Experience in mentoring, leading, or managing more junior engineers","Experience writing technical documents, project plans and progress reports to leadership and to stakeholders","Knowledge of engineering practices and patterns for the full software/hardware/networks development life cycle, including coding standards, code reviews, source control management, build processes, testing, certification, and livesite operations",,,,,,,,,0,0,0,0,1,1,0,0,1,1
771,https://www.amazon.jobs/en-gb/jobs/2610096/software-development-engineer-ec2-fleet-maintenance,"Software Development Engineer, EC2 Fleet Maintenance",2610096,115000.0,223600.0,3+ years of non-internship professional software development experience,"2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience",Experience programming with at least one software programming language,,,,,,,,,,,0,0,0,1,0,0,0,3,0,0
772,https://www.amazon.jobs/en-gb/jobs/2610478/sde-ii-aws-payments,"SDE II, AWS Payments",2610478,114800.0,191800.0,3+ years of non-internship professional software development experience,"2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience",Experience programming with at least one software programming language,3+ years of software development experience.,"2+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.","Programming experience with at least one modern language such as Java, C++, or C#.",In-depth knowledge of CS data structures and algorithms.,"Strong debugging, troubleshooting, and problem-solving skills.",Deal well with ambiguous/undefined problems; ability to think abstractly.,Working knowledge of relational and NoSQL databases.,Bachelor’s degree (or higher) in Computer Science or a related discipline.,,,0,0,1,1,1,0,0,3,0,0
773,https://www.amazon.jobs/en-gb/jobs/2542406/software-development-engineer-kernel-hypervisor-security-ec2-kaos,"Software Development Engineer, Kernel/Hypervisor Security, EC2 KaOS",2542406,132228.1517134628,239758.66584409366,Experience (non-internship) in professional software development,"Programming experience in C and at least one scripting language like Ruby, Python or Bash",,,,,,,,,,,,0,0,0,0,0,1,0,1,0,0
774,https://www.amazon.jobs/en-gb/jobs/2511545/software-development-engineer-amazon-linux,"Software Development Engineer, Amazon Linux",2511545,115000.0,223600.0,3+ years of non-internship professional software development experience,"2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience",Experience programming with at least one software programming language,,,,,,,,,,,0,0,0,1,0,0,0,3,0,0
775,https://www.amazon.jobs/en-gb/jobs/2608754/embedded-fw-engineer-ena-team,"Embedded FW Engineer, ENA Team",2608754,131220.20933456262,232793.77979211774,B.Sc. degree in Computer Science or Electrical Engineering,5+ years of professional experience in SW development,"Strong hands-on experience in C development, with a mindset for developing optimized code",,,,,,,,,,,1,0,0,0,0,0,0,0,0,1
776,https://www.amazon.jobs/en-gb/jobs/2502796/sr-sde-nitro-linux-kernel-aws-ec2-nitro-operating-system,"Sr SDE, Nitro Linux Kernel, AWS EC2 Nitro Operating System",2502796,134500.0,261500.0,5+ years of non-internship professional software development experience,5+ years of programming with at least one software programming language experience,"5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience","Experience as a mentor, tech lead or leading an engineering team",,,,,,,,,,0,0,0,0,0,0,0,5,0,1
777,https://www.amazon.jobs/en-gb/jobs/2583577/sr-software-development-engineer-amazon-linux,"Sr. Software Development Engineer, Amazon Linux",2583577,134500.0,261500.0,5+ years of non-internship professional software development experience,5+ years of programming with at least one software programming language experience,"5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience","Experience as a mentor, tech lead or leading an engineering team",,,,,,,,,,0,0,0,0,0,0,0,5,0,1
778,https://www.amazon.jobs/en-gb/jobs/2533956/sr-software-dev-engineer-ec2-trust-infrastructure,"Sr. Software Dev Engineer, EC2 Trust Infrastructure",2533956,134500.0,261500.0,5+ years of non-internship professional software development experience,5+ years of programming with at least one software programming language experience,"5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience","Experience as a mentor, tech lead or leading an engineering team","Knowledge of professional software engineering & best practices for full software development life cycle, including coding standards, software architectures, code reviews, source control management, continuous deployments, testing, and operational excellence",,,,,,,,,0,0,0,0,0,0,0,5,1,1
779,https://www.amazon.jobs/en-gb/jobs/2534111/senior-software-development-engineer,Senior Software Development Engineer,2534111,134500.0,261500.0,5+ years of non-internship professional software development experience,5+ years of programming with at least one software programming language experience,"5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience","Experience as a mentor, tech lead or leading an engineering team",,,,,,,,,,0,0,0,0,0,0,0,5,0,1
780,https://www.amazon.jobs/en-gb/jobs/2569166/senior-mysql-dbe-aurora,"Senior MySQL DBE, Aurora",2569166,116800.0,227000.0,"8 years’ experience building and maintaining complex mission-critical production database systems such as Postgres, Oracle, MySQL, Microsoft SQL Server.",5 years’ experience designing and maintaining MySQL relational databases.,"5 years’ experience working directly with customers, resolving database, systems and infrastructure-related issues and also providing systems architecture leadership.","Awareness of customer workloads and use cases, including performance, availability and scalability.","Working knowledge of relational database internals (locking, consistency, serialization, recovery paths).","Working knowledge of at least one scripting language (shell, Python, Perl).","Working knowledge of at least one application programming language (Java, C#, C, C++, Go).","Coding skills in the procedural language for at least one database engine a must (PL/SQL, T-SQL etc.)",,,,,,0,0,0,0,1,1,0,0,0,0
781,https://www.amazon.jobs/en-gb/jobs/2503567/sr-software-dev-engineer-redshift-distributed-systems,"Sr. Software Dev Engineer, Redshift Distributed Systems",2503567,134500.0,261500.0,5+ years of non-internship professional software development experience,5+ years of programming with at least one software programming language experience,"5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience","Experience as a mentor, tech lead or leading an engineering team","5+ years of programming using a modern programming language such as Java, C++, or C#, including object-oriented design experience",,,,,,,,,0,0,0,0,1,0,0,5,0,1
782,https://www.amazon.jobs/en-gb/jobs/2533622/sr-sde-aws-redshift-aws-redshift,"Sr. SDE AWS Redshift , AWS Redshift",2533622,134500.0,261500.0,5+ years of non-internship professional software development experience,5+ years of programming with at least one software programming language experience,"5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience","Experience as a mentor, tech lead or leading an engineering team",,,,,,,,,,0,0,0,0,0,0,0,5,0,1
783,https://www.amazon.jobs/en-gb/jobs/2559652/sr-performance-engineer-redshift-performance-engineering,"Sr. Performance Engineer, Redshift Performance Engineering",2559652,116800.0,227000.0,5+ years as a software developer or performance engineer developing or optimizing performance-oriented software in C or C++,"3+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems","Experience as a mentor, tech lead or leading an engineering team",,,,,,,,,,,0,0,0,0,1,0,0,0,0,1
784,https://www.amazon.jobs/en-gb/jobs/2607096/senior-software-development-engineer-elastic-block-store-ebs-aws,"Senior Software Development Engineer, Elastic Block Store (EBS), AWS",2607096,134500.0,261500.0,5+ years of non-internship professional software development experience,5+ years of programming with at least one software programming language experience,"5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience","Experience as a mentor, tech lead or leading an engineering team",,,,,,,,,,0,0,0,0,0,0,0,5,0,1
785,https://www.amazon.jobs/en-gb/jobs/2564696/software-automation-student-aws-annapurna-labs,"Software Automation Student, AWS - Annapurna Labs",2564696,129996.08448088012,231977.77203924072,* Computer Engineering / Software Engineering / Computer Science student (with at least 3 semesters left before graduation).,Please include a grade sheet/academic transcript along with your CV in a single PDF when submitting your application.,Available for 2.5 to 3 work days per week.,Hands-on coding experience with at least one programming language.,,,,,,,,,,0,0,0,0,0,0,0,0,0,1
786,https://www.amazon.jobs/en-gb/jobs/2604183/software-development-engineer-ec2-cordite,"Software Development Engineer, EC2 Cordite",2604183,115000.0,223600.0,3+ years of non-internship professional software development experience,"2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience",Experience programming with at least one software programming language,,,,,,,,,,,0,0,0,1,0,0,0,3,0,0
787,https://www.amazon.jobs/en-gb/jobs/2558888/senior-software-development-engineer-aws-elasticache,"Senior Software Development Engineer, AWS ElastiCache",2558888,146473.2457035694,259183.01981661684,5+ years of non-internship professional software development experience,5+ years of programming with at least one software programming language experience,"5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience","Experience as a mentor, tech lead or leading an engineering team",,,,,,,,,,0,0,0,0,0,0,0,5,0,1
788,https://www.amazon.jobs/en-gb/jobs/2508130/sr-software-development-engineer-ec2-gateway-networking,"Sr. Software Development Engineer, EC2 Gateway Networking",2508130,134500.0,261500.0,5+ years of non-internship professional software development experience,5+ years of programming with at least one software programming language experience,"5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience","Experience as a mentor, tech lead or leading an engineering team",,,,,,,,,,0,0,0,0,0,0,0,5,0,1
789,https://www.amazon.jobs/en-gb/jobs/2553629/software-development-engineer-s3,"Software Development Engineer, S3",2553629,115000.0,223600.0,3+ years of non-internship professional software development experience,"2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience",Experience programming with at least one software programming language,,,,,,,,,,,0,0,0,1,0,0,0,3,0,0
790,https://www.amazon.jobs/en-gb/jobs/2600635/verification-engineer,Verification Engineer,2600635,129996.08448088012,231977.77203924072,Electrical/Computer Science engineer,5+ years of experience with RTL verification,"Knowledge of Hardware Verification concepts and tools (UVM , Coverage Driven verification)",Sound understanding and knowledge of object-oriented programming concepts,Verilog/SystemVerilog/Specman,,,,,,,,,0,0,0,0,0,0,0,0,0,1
791,https://www.amazon.jobs/en-gb/jobs/2580731/software-development-engineer-aws-kubernetes-eks-scalability-performance,"Software Development Engineer (AWS Kubernetes) , EKS Scalability & Performance",2580731,115000.0,223600.0,3+ years of non-internship professional software development experience,"2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience",Experience programming with at least one software programming language,,,,,,,,,,,0,0,0,1,0,0,0,3,0,0
792,https://www.amazon.jobs/en-gb/jobs/2493434/sr-software-dev-engineer-ec2-trust-infrastructure,"Sr. Software Dev Engineer, EC2 Trust Infrastructure",2493434,134500.0,261500.0,5+ years of non-internship professional software development experience,5+ years of programming with at least one software programming language experience,"5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience","Experience as a mentor, tech lead or leading an engineering team","Knowledge of professional software engineering & best practices for full software development life cycle, including coding standards, software architectures, code reviews, source control management, continuous deployments, testing, and operational excellence",,,,,,,,,0,0,0,0,0,0,0,5,1,1
793,https://www.amazon.jobs/en-gb/jobs/2496384/kernel-development-engineer-amazon-linux,"Kernel Development Engineer, Amazon Linux",2496384,115000.0,223600.0,3+ years of non-internship professional software development experience,"2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience",Experience programming with at least one software programming language,,,,,,,,,,,0,0,0,1,0,0,0,3,0,0
794,https://www.amazon.jobs/en-gb/jobs/2513258/senior-software-development-engineer-k8s-eks,"Senior Software Development Engineer, K8s - EKS",2513258,146473.2457035694,259183.01981661684,5+ years of non-internship professional software development experience,5+ years of programming with at least one software programming language experience,"5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience","Experience as a mentor, tech lead or leading an engineering team",,,,,,,,,,0,0,0,0,0,0,0,5,0,1
795,https://www.amazon.jobs/en-gb/jobs/2596885/senior-software-development-engineer-aws-storage-gateway,"Senior Software Development Engineer, AWS Storage Gateway",2596885,144342.2910251915,254262.52959044222,5+ years of non-internship professional software development experience,5+ years of programming with at least one software programming language experience,"5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience","Experience as a mentor, tech lead or leading an engineering team","Proven object-oriented design and implementation skills with at least one modern language such as Java, C++, or C#, preferably on Linux","Proven understanding of scalable computing systems, software architecture, data structures and algorithms","Proficient in network, distributed, asynchronous and concurrent programming","Experience designing, building and delivering high quality software on time",,,,,,0,0,0,0,1,0,0,5,0,1
796,https://www.amazon.jobs/en-gb/jobs/2542380/software-development-engineer-ec2-nitro,"Software Development Engineer, EC2 Nitro",2542380,115000.0,223600.0,3+ years of non-internship professional software development experience,"2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience",Experience programming with at least one software programming language,,,,,,,,,,,0,0,0,1,0,0,0,3,0,0
797,https://www.amazon.jobs/en-gb/jobs/2508290/senior-software-development-engineer-aws-redshift-aws-redshift-control-plane,"Senior Software Development Engineer - AWS Redshift, AWS Redshift Control Plane",2508290,156359.54243718297,275506.1684830425,8+ years of non-internship professional software development experience,8+ years of programming with at least one software programming language experience,"5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience","Experience as a mentor, tech lead or leading an engineering team",,,,,,,,,,0,0,0,0,0,0,0,8,0,1
798,https://www.amazon.jobs/en-gb/jobs/2567872/sr-software-dev-engineer-rds-open-source,"Sr Software Dev Engineer, RDS Open Source",2567872,127865.1298025022,227057.28181306613,"Experience as a mentor, tech lead or leading an engineering team","Experience leading the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems","Experience in professional, non-internship software development","Experience programming with at least one modern language such as Java, C++, or C# including object-oriented design",Experience in development in the last 3 years,,,,,,,,,0,0,0,0,1,0,0,0,0,1
799,https://www.amazon.jobs/en-gb/jobs/2585679/software-dev-engineer-ii-aws-distributed-sql,"Software Dev Engineer II, AWS Distributed SQL",2585679,115000.0,223600.0,3+ years of non-internship professional software development experience,"2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience",Experience programming with at least one software programming language,,,,,,,,,,,0,0,0,1,0,0,0,3,0,0
800,https://www.amazon.jobs/en-gb/jobs/2562502/software-development-engineer-ec2-load-balancing,"software development engineer, EC2 Load Balancing",2562502,115000.0,223600.0,3+ years of non-internship professional software development experience,"2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience",Experience programming with at least one software programming language,,,,,,,,,,,0,0,0,1,0,0,0,3,0,0
801,https://www.amazon.jobs/en-gb/jobs/2584061/python-infrastructure-engineer-annapurna-labs,"Python Infrastructure Engineer, Annapurna Labs",2584061,128659.2035437204,231757.31887690988,5+ years of experience in programming (python preferred),5+ years of experience with design and implementation of automation frameworks,"Experience in software engineering concepts: OOP, OOD, data structures and algorithms","Experience with version control tools (Git, Gerrit, other)","Self-management skills, good sense of prioritization while handling multiple tasks under pressure","Team player, highly motivated and fast learner, who is willing to work in dynamic and demanding environment.",,,,,,,,0,0,0,0,0,1,0,0,1,1
802,https://www.amazon.jobs/en-gb/jobs/2583626/software-development-engineer-k8s-eks-cluster-management,"Software Development Engineer, K8s - EKS - Cluster Management",2583626,114800.0,191800.0,3+ years of non-internship professional software development experience,"2+ years of non-internship design or architecture (design patterns, reliability and scaling) of new and existing systems experience",Experience programming with at least one software programming language,,,,,,,,,,,0,0,0,1,0,0,0,3,0,0
803,https://www.amazon.jobs/en-gb/jobs/2534855/sr-software-engineer-ai-ml-aws-neuron-distributed-training,"Sr. Software Engineer- AI/ML, AWS Neuron Distributed Training",2534855,134500.0,261500.0,5+ years of non-internship professional software development experience,5+ years of programming with at least one software programming language experience,"5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience","5+ years of full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations experience","Experience as a mentor, tech lead or leading an engineering team",,,,,,,,,0,0,0,0,0,0,0,5,1,1
804,https://www.amazon.jobs/en-gb/jobs/2471877/sw-engineer-network-drivers-expert-aws-annapurna-labs,"SW Engineer - Network Drivers Expert, AWS Annapurna Labs",2471877,144342.2910251915,254262.52959044222,5+ years of non-internship professional software development experience,5+ years of programming with at least one software programming language experience,"5+ years of leading design or architecture (design patterns, reliability and scaling) of new and existing systems experience","Experience as a mentor, tech lead or leading an engineering team","Experience leading the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems","Experience in professional, non-internship software development","Experience programming with at least one modern language such as Java, C++, or C# including object-oriented design",Experience in development in the last 3 years,,,,,,0,0,0,0,1,0,0,5,0,1
805,https://www.amazon.jobs/en-gb/jobs/2554130/senior-network-software-engineer,Senior Network Software Engineer,2554130,104983.92736797773,200849.03490057937,5+ years of programming with at least one software programming language experience,"Bachelor’s (or higher) Degree in Computer Science (CS), Electrical Engineering (EE) or related area",,,,,,,,,,,,0,0,1,0,0,0,0,0,0,1
806,https://www.amazon.jobs/en-gb/jobs/2344177/sr-network-sw-engineer-aws-annapurna-labs,"Sr. Network SW Engineer , AWS Annapurna Labs",2344177,102852.97268959979,195928.54467440478,* Strong C and C++ programming skills.,* Bachelor’s Degree in Computer Science or Electrical Engineering,"* Deep experience in networking protocols, mainly RDMA/Ethernet",* Experience in performance optimizations,,,,,,,,,,0,0,1,0,1,0,0,0,0,1
