,agent,running_seed,sample_seed,num_jobs,num_candidates,reward,sampled_men_percent,hired_men_percent,hired_women_count,hired_men_count,data,debiased
0,DQN,1,1,10,100,-177108.5,0.83,0.6666666666666666,3,6,normalised_data,Yes
1,DQN,1,1,20,100,-535495.3,0.83,0.6666666666666666,6,12,normalised_data,Yes
2,DQN,1,1,50,100,-2704213.8,0.83,0.7105263157894737,11,27,normalised_data,Yes
