,10,20,50
0,,3563532032.0,
1,5772469760.0,3962408192.0,4979433472.0
2,7008352768.0,5592339456.0,4671022592.0
3,5343832576.0,5044831744.0,4321784320.0
4,6646540288.0,4503693312.0,5772655104.0
5,6445872128.0,4570238976.0,4429916672.0
6,5668546560.0,6088052736.0,5245584896.0
7,4147105280.0,2766461184.0,5230861312.0
8,4048979968.0,4345087488.0,4820964352.0
9,3573864448.0,4637238272.0,5056164352.0
10,6564355072.0,7093894144.0,5658958848.0
11,5911821312.0,6212193280.0,4501171200.0
12,5278889984.0,5585760256.0,4539019776.0
13,4781491200.0,5274173952.0,5849666560.0
14,6920877056.0,4479283200.0,4401236992.0
15,7514843648.0,6010782720.0,4516937728.0
16,4799915520.0,5979537408.0,4990208000.0
17,3901786368.0,5731844608.0,3853902848.0
18,4550027264.0,4262415104.0,3796879872.0
19,6522314240.0,5390934016.0,4082692096.0
20,4765138432.0,4359028224.0,3731966976.0
21,5248460288.0,5957382144.0,2355787776.0
22,5326017024.0,6920518144.0,2578639616.0
23,7731672576.0,5568094720.0,3000690432.0
24,6501294080.0,6943227904.0,3848479488.0
25,5959300096.0,4550795264.0,2868599296.0
26,6088423936.0,4362213376.0,2649502464.0
27,2649839616.0,7089113600.0,2033744128.0
28,5785129984.0,4903789056.0,2022231552.0
29,8123804672.0,5208911360.0,2307695104.0
30,4133854720.0,3376087296.0,2116284800.0
31,4965389312.0,4544649216.0,1918209408.0
32,3409754112.0,4565043200.0,1301748480.0
33,5635382784.0,6340999680.0,2008841984.0
34,5699192832.0,3632185600.0,1684353152.0
35,2994901760.0,5409691136.0,1498989440.0
36,5728355328.0,5697870848.0,1478572032.0
37,5770129920.0,4383164416.0,713061888.0
38,4182162688.0,5597274112.0,805412800.0
39,5716816896.0,4629388288.0,753884672.0
40,4278945280.0,4898893824.0,1021735168.0
41,3656062720.0,5385645568.0,1271520128.0
42,4704621568.0,4156988928.0,521304320.0
43,5176941568.0,5196809728.0,697443648.0
44,3076983552.0,4743452160.0,527651680.0
45,5414270976.0,4901613568.0,585534720.0
46,5195139584.0,6449383424.0,833895360.0
47,5110956544.0,5994058752.0,726313856.0
48,3653709568.0,3733886976.0,653850048.0
49,3552135680.0,4406354432.0,648747328.0
50,5000641536.0,3621782272.0,377739200.0
51,4207145216.0,3480044544.0,947751808.0
52,3294201856.0,3782221568.0,465652736.0
53,4548534272.0,3083622400.0,525175168.0
54,3223018240.0,4473333248.0,990535808.0
55,4052116224.0,4730644992.0,696142976.0
56,4070799360.0,4942602752.0,815405056.0
57,2147744768.0,3702822144.0,989528192.0
58,3458747392.0,3314890240.0,975107008.0
59,5383399936.0,2826932224.0,1044536384.0
60,2995338752.0,3578154496.0,1362838144.0
61,3029451264.0,2720185600.0,1605004672.0
62,2873371392.0,3456164096.0,2365886976.0
63,2922515712.0,4978580480.0,2836336640.0
64,3514194688.0,3204082432.0,4551163904.0
65,3338996992.0,5226055168.0,8006755840.0
66,2652698368.0,3309731072.0,11395837952.0
67,2808283136.0,3425788416.0,29579448320.0
68,2666395904.0,3484624896.0,22618107904.0
69,2830508800.0,3578039040.0,57617973248.0
70,2437377280.0,4223302144.0,147631226880.0
71,1823028096.0,4870386176.0,227102556160.0
72,2426331392.0,2405388288.0,352091176960.0
73,2945271040.0,2249004032.0,780697731072.0
74,1826971136.0,1600025472.0,859240923136.0
75,2970880000.0,1882880512.0,1878122168320.0
76,3139027968.0,2980992512.0,2718248730624.0
77,3207525376.0,2128101376.0,4072235073536.0
78,2700199424.0,2719459328.0,7973443731456.0
79,1284000000.0,2095937024.0,13564588851200.0
80,2569453056.0,2016059136.0,15095144906752.0
81,1008595136.0,2907451648.0,24479958827008.0
82,4274924032.0,5775667200.0,33264093888512.0
83,2838592512.0,1541670272.0,41001049653248.0
84,1732093440.0,1483129856.0,62634493739008.0
85,1671548800.0,3764563968.0,76703258902528.0
86,1657002240.0,1870905856.0,124203541987328.0
87,1512050176.0,2064953216.0,108696176689152.0
88,1213561984.0,1197080832.0,243338502471680.0
89,2297774336.0,3075709952.0,384539931181056.0
90,1880148224.0,2770867200.0,307024663412736.0
